iter	Passed	Remaining
0	22	15023
1	27	9374
2	50	11317
3	68	11496
4	73	9821
5	76	8554
6	83	7956
7	98	8172
8	105	7794
9	109	7241
10	116	7001
11	119	6595
12	123	6268
13	126	5968
14	130	5723
15	133	5494
16	137	5294
17	143	5241
18	147	5072
19	164	5387
20	169	5265
21	176	5236
22	186	5291
23	194	5257
24	197	5131
25	218	5439
26	232	5582
27	242	5589
28	267	5946
29	281	6045
30	286	5950
31	306	6158
32	328	6387
33	347	6543
34	360	6573
35	380	6748
36	412	7099
37	432	7241
38	455	7422
39	483	7666
40	506	7825
41	529	7968
42	554	8129
43	569	8153
44	590	8249
45	603	8241
46	628	8388
47	651	8498
48	670	8546
49	692	8637
50	716	8755
51	740	8858
52	753	8833
53	769	8840
54	794	8941
55	816	9006
56	833	9017
57	856	9096
58	882	9199
59	902	9233
60	908	9131
61	930	9180
62	946	9177
63	959	9142
64	981	9195
65	1004	9255
66	1026	9303
67	1042	9286
68	1062	9315
69	1069	9230
70	1090	9264
71	1111	9296
72	1133	9334
73	1155	9371
74	1178	9415
75	1196	9413
76	1219	9453
77	1230	9405
78	1247	9396
79	1260	9361
80	1281	9383
81	1286	9290
82	1296	9231
83	1305	9168
84	1328	9208
85	1350	9234
86	1375	9281
87	1398	9315
88	1420	9339
89	1444	9370
90	1466	9394
91	1493	9447
92	1516	9476
93	1540	9506
94	1562	9525
95	1585	9544
96	1593	9480
97	1613	9483
98	1628	9461
99	1649	9467
100	1671	9481
101	1691	9488
102	1716	9514
103	1737	9522
104	1761	9547
105	1773	9503
106	1796	9518
107	1821	9544
108	1842	9551
109	1859	9534
110	1880	9539
111	1904	9554
112	1930	9583
113	1946	9561
114	1969	9571
115	1993	9590
116	2015	9593
117	2029	9564
118	2053	9578
119	2071	9561
120	2085	9531
121	2109	9545
122	2119	9493
123	2136	9477
124	2163	9502
125	2186	9511
126	2209	9518
127	2214	9446
128	2229	9417
129	2252	9427
130	2277	9438
